Key,Value(s),Description,Required
gentooinstall-language,`lang <https://github.com/gentooinstall/gentooinstall/blob/master/gentooinstall/locales/languages.json>`__,TUI language (`lang` value),No
bootloader_config,"{ bootloader, uki, removable }",Bootloader selection and options,Yes
disk_config,*Read more under* :ref:`disk config`,Disk layout definition,No
disk_encryption,*Read more under* :ref:`disk encryption`,Encryption settings applied to disk layout,No
hostname,``str``,System hostname,No
kernels,[ ``gentoo-kernel-bin``!, ``gentoo-kernel``!, ... ],Kernel package selections,Yes
custom_commands,*Read more under* :ref:`custom commands`,Commands run in target system post-install,No
locale_config,{kb_layout, sys_enc, sys_lang},Keyboard layout and locale settings,No
mirror_config,{custom_servers, mirror_regions},Mirror selection for package downloads,No
network_config,*See Network Configuration options*,Network setup mode and NIC data,No
ntp,``true``!, ``false``,Enable/disable NTP checks during install,No
offline,``true``!, ``false``,Disable online checks and remote lookups,No
packages,[ <package1>!, <package2>!, ... ],Additional packages to install,No
parallel_downloads,0-∞,Parallel download tuning for package manager,No
gentoo,{architecture, init_system, sync_mode, stage3_url, make_conf, ...},Gentoo-specific stage3/Portage/make.conf options,No
profile_config,*Read more under profiles section*,Install selected profile,No
script,`guided`! *(default)*!, `minimal`!, `only_hd`!,Script to run,No
silent,``true``!, ``false``,Disable interactive TUI prompts,No
swap,``true``!, ``false``,Enable/disable swap configuration,No
timezone,`timezone <https://wiki.gentoo.org/wiki/Handbook:AMD64/Installation/System#Timezone>`_,Timezone to configure on target,No
